#, Date, Away Team, 1Q, 2Q, 3Q, 4Q, Total, Home Team, 1Q, 2Q, 3Q, 4Q, Total, Game Total, Over/Under, Result, Favorite, Spread, Home Pts/G, Home Opp Pts/G, Home SRS, Home Pace, Home Off Rat, Home Def Rat, Away Pts/G, Away Opp Pts/G, Away SRS, Away Pace, Away Off Rat, Away Def Rat
2,10/17/2017,BOS,19,19,33,28,99,CLE,29,25,18,30,102,201,216,Under,CLE,-4.5,109.6,109.3,-0.13,97.9,111.8,111.5,103.1,98.3,4.3,96,107,102
3,10/17/2017,HOU,34,28,26,34,122,GSW,35,36,30,20,121,243,231,Over,GSW,-9.5,115.6,107.7,8.19,100.1,115,107.1,113.8,106.1,7.39,98.6,114.9,107.1
4,10/18/2017,BRK,30,33,35,33,131,IND,29,36,41,34,140,271,216.5,Over,IND,-3,106.5,105.3,0.74,96.3,110.2,108.9,105.2,108.8,-3.53,99.2,105.5,109.1
5,10/18/2017,PHI,23,36,23,33,115,WAS,32,24,34,30,120,235,217.5,Over,WAS,-6.5,107.3,105.6,1.11,97.4,109.5,107.8,107.9,106.9,1.67,99.5,107.5,106.5
6,10/18/2017,MIA,37,18,23,31,109,ORL,32,26,30,28,116,225,205.5,Over,MIA,-3.5,105.7,110.3,-4.46,98.9,106.7,111.4,100.2,100.9,-0.84,94.9,105.2,105.9
7,10/18/2017,CHO,27,18,25,20,90,DET,29,27,26,20,102,192,202,Under,DET,-3,102.8,103.1,-0.04,96,106.8,107.1,105.7,105.6,0.31,98.3,107.1,107
8,10/18/2017,MIL,24,34,18,32,108,BOS,26,27,27,20,100,208,203,Over,BOS,-1.5,103.1,98.3,4.3,96,107,102,104.8,105.4,-0.51,95.6,109.2,109.8
9,10/18/2017,NOP,34,18,18,21,91,MEM,27,27,25,24,103,194,204.5,Under,MEM,-2,99.8,102.5,-2.27,93.8,106.3,109.2,110.8,110.7,0.07,99.5,109.8,109.7
10,10/18/2017,ATL,27,31,24,35,117,DAL,24,23,35,29,111,228,199,Over,DAL,-5.5,101.4,103.7,-1.57,95.1,106.2,108.6,103.6,108.3,-4.73,97.2,106.4,111.2
11,10/18/2017,DEN,30,28,25,13,96,UTA,21,28,29,28,106,202,205,Under,UTH,-2.5,102,102.1,0.63,95.3,106.6,106.7,106.6,105.9,0.5,96.4,109.8,109.2
12,10/18/2017,MIN,25,24,28,22,99,SAS,32,21,34,20,107,206,203.5,Over,SAS,-1,100.7,97.6,2.61,94.3,106.8,103.5,108.9,105.7,3.2,95.4,113.4,110.1
13,10/18/2017,HOU,26,26,23,30,105,SAC,25,23,24,28,100,205,216.5,Under,HOU,-7,98.2,106.5,-8.1,95,103.1,111.8,113.8,106.1,7.39,98.6,114.9,107.1
14,10/18/2017,POR,29,31,38,26,124,PHO,21,14,20,21,76,200,219.5,Under,POR,-2.5,104.9,111.8,-6.85,99.6,105.1,112,104.9,103.1,1.33,96.4,108.4,106.4
15,10/19/2017,CHI,23,14,27,36,100,TOR,25,33,26,33,117,217,206.5,Over,TOR,-13.5,111.2,104.2,6.58,98.1,112.9,105.7,103.6,109.3,-5.29,98.1,104.1,109.8
16,10/19/2017,NYK,24,18,17,25,84,OKC,27,26,26,26,105,189,215.5,Under,OKC,-12,106.5,102.5,3.83,95.8,110.3,106.1,104.5,105.9,-1.57,96.2,107.5,108.9
17,10/19/2017,LAC,27,26,34,21,108,LAL,19,23,21,29,92,200,219,Under,LAC,-6.5,106.7,110.3,-3.14,100.9,104.2,107.8,107.6,107.3,0.27,98.3,109.2,108.9
18,10/20/2017,BOS,24,22,23,33,102,PHI,21,29,22,20,92,194,216.5,Under,PHI,-3,107.9,106.9,1.67,99.5,107.5,106.5,103.1,98.3,4.3,96,107,102
19,10/20/2017,ATL,28,28,17,18,91,CHO,18,31,35,25,109,200,205.5,Under,CHA,-4.5,105.7,105.6,0.31,98.3,107.1,107,103.6,108.3,-4.73,97.2,106.4,111.2
20,10/20/2017,DET,31,34,16,30,111,WAS,29,29,33,24,115,226,211.5,Over,WAS,-6.5,107.3,105.6,1.11,97.4,109.5,107.8,102.8,103.1,-0.04,96,106.8,107.1
21,10/20/2017,CLE,25,30,31,30,116,MIL,25,24,24,24,97,213,209.5,Over,MIL,-1,104.8,105.4,-0.51,95.6,109.2,109.8,109.6,109.3,-0.13,97.9,111.8,111.5
22,10/20/2017,POR,31,31,29,23,114,IND,25,27,21,23,96,210,218.5,Under,POR,-5.5,106.5,105.3,0.74,96.3,110.2,108.9,104.9,103.1,1.33,96.4,108.4,106.4
23,10/20/2017,ORL,27,28,36,30,121,BRK,29,29,31,37,126,247,226,Over,BKN,-2,105.2,108.8,-3.53,99.2,105.5,109.1,105.7,110.3,-4.46,98.9,106.7,111.4
24,10/20/2017,UTA,16,26,23,32,97,MIN,19,27,24,30,100,197,197,Under,MIN,-4.5,108.9,105.7,3.2,95.4,113.4,110.1,102,102.1,0.63,95.3,106.6,106.7
25,10/20/2017,SAC,19,27,25,22,93,DAL,23,23,14,28,88,181,202,Under,DAL,-6,101.4,103.7,-1.57,95.1,106.2,108.6,98.2,106.5,-8.1,95,103.1,111.8
26,10/20/2017,GSW,26,35,37,30,128,NOP,39,25,26,30,120,248,221,Over,GSW,-9,110.8,110.7,0.07,99.5,109.8,109.7,115.6,107.7,8.19,100.1,115,107.1
27,10/20/2017,LAL,40,30,36,26,132,PHO,36,37,26,31,130,262,220.5,Over,PHO,-3.5,104.9,111.8,-6.85,99.6,105.1,112,106.7,110.3,-3.14,100.9,104.2,107.8
28,10/21/2017,PHI,19,30,22,23,94,TOR,36,26,40,26,128,222,219,Over,TOR,-9,111.2,104.2,6.58,98.1,112.9,105.7,107.9,106.9,1.67,99.5,107.5,106.5
29,10/21/2017,ORL,36,20,32,26,114,CLE,18,27,20,28,93,207,216,Under,CLE,-11.5,109.6,109.3,-0.13,97.9,111.8,111.5,105.7,110.3,-4.46,98.9,106.7,111.4
30,10/21/2017,DAL,20,19,19,33,91,HOU,33,29,30,15,107,198,216,Under,HOU,-11.5,113.8,106.1,7.39,98.6,114.9,107.1,101.4,103.7,-1.57,95.1,106.2,108.6
31,10/21/2017,DET,19,32,28,32,111,NYK,28,36,16,27,107,218,204.5,Over,DET,-1,104.5,105.9,-1.57,96.2,107.5,108.9,102.8,103.1,-0.04,96,106.8,107.1
32,10/21/2017,IND,31,19,26,32,108,MIA,26,37,28,21,112,220,214,Over,MIA,-9.5,100.2,100.9,-0.84,94.9,105.2,105.9,106.5,105.3,0.74,96.3,110.2,108.9
33,10/21/2017,SAS,19,22,24,22,87,CHI,21,17,17,22,77,164,200.5,Under,SAS,-10.5,103.6,109.3,-5.29,98.1,104.1,109.8,100.7,97.6,2.61,94.3,106.8,103.5
34,10/21/2017,GSW,26,25,20,30,101,MEM,31,25,32,23,111,212,213,Under,GSW,-8.5,99.8,102.5,-2.27,93.8,106.3,109.2,115.6,107.7,8.19,100.1,115,107.1
35,10/21/2017,POR,26,29,25,30,110,MIL,24,36,24,29,113,223,208.5,Over,MIL,-3,104.8,105.4,-0.51,95.6,109.2,109.8,104.9,103.1,1.33,96.4,108.4,106.4
36,10/21/2017,SAC,18,16,18,27,79,DEN,17,25,24,30,96,175,212.5,Under,DEN,-12,106.6,105.9,0.5,96.4,109.8,109.2,98.2,106.5,-8.1,95,103.1,111.8
37,10/21/2017,OKC,14,20,23,30,87,UTA,21,23,29,23,96,183,200,Under,OKC,-4,102,102.1,0.63,95.3,106.6,106.7,106.5,102.5,3.83,95.8,110.3,106.1
38,10/21/2017,PHO,18,26,20,24,88,LAC,23,35,32,40,130,218,220,Under,LAC,-13.5,107.6,107.3,0.27,98.3,109.2,108.9,104.9,111.8,-6.85,99.6,105.1,112
39,10/22/2017,ATL,25,28,24,27,104,BRK,19,37,35,25,116,220,220.5,Under,BKN,-1,105.2,108.8,-3.53,99.2,105.5,109.1,103.6,108.3,-4.73,97.2,106.4,111.2
40,10/22/2017,MIN,28,33,27,27,115,OKC,23,31,21,38,113,228,212,Over,OKC,-4,106.5,102.5,3.83,95.8,110.3,106.1,108.9,105.7,3.2,95.4,113.4,110.1
41,10/22/2017,NOP,34,34,26,25,119,LAL,22,33,28,29,112,231,222,Over,NOR,-5.5,106.7,110.3,-3.14,100.9,104.2,107.8,110.8,110.7,0.07,99.5,109.8,109.7
42,10/23/2017,PHI,31,25,19,22,97,DET,22,21,24,19,86,183,213.5,Under,DET,-3.5,102.8,103.1,-0.04,96,106.8,107.1,107.9,106.9,1.67,99.5,107.5,106.5
43,10/23/2017,ATL,23,21,29,20,93,MIA,26,36,15,27,104,197,205,Under,MIA,-11,100.2,100.9,-0.84,94.9,105.2,105.9,103.6,108.3,-4.73,97.2,106.4,111.2
44,10/23/2017,MEM,24,26,20,28,98,HOU,26,31,19,14,90,188,213.5,Under,HOU,-8,113.8,106.1,7.39,98.6,114.9,107.1,99.8,102.5,-2.27,93.8,106.3,109.2
45,10/23/2017,CHO,25,29,23,17,94,MIL,18,35,30,20,103,197,203.5,Under,MIL,-6.5,104.8,105.4,-0.51,95.6,109.2,109.8,105.7,105.6,0.31,98.3,107.1,107
46,10/23/2017,GSW,40,25,34,34,133,DAL,24,38,22,19,103,236,217,Over,GSW,-13.5,101.4,103.7,-1.57,95.1,106.2,108.6,115.6,107.7,8.19,100.1,115,107.1
47,10/23/2017,TOR,23,27,24,23,97,SAS,21,29,25,26,101,198,201.5,Under,SAS,-2.5,100.7,97.6,2.61,94.3,106.8,103.5,111.2,104.2,6.58,98.1,112.9,105.7
48,10/23/2017,WAS,29,27,22,31,109,DEN,29,26,22,27,104,213,224.5,Under,DEN,-5,106.6,105.9,0.5,96.4,109.8,109.2,107.3,105.6,1.11,97.4,109.5,107.8
